task,dataset,image,sigma255,seed,ablation,method,p,lambda,gamma,mapping,iterations,runtime,budget,removed,psnr,ssim,grad_corr,grad_mae,tv_input,tv_output
ablation,kodak24,kodim01,25,0,p_sweep,ectv,0.55,0.08,0.04,tanh,22.0,0.07205090000206837,0.3333333331062497,0.2494162991642952,26.5789021197073,0.7394172549247742,0.9445927739143372,0.024831779301166534,0.35744088888168335,0.10802458971738815
ablation,kodak24,kodim01,25,0,p_sweep,ectv,0.65,0.08,0.04,tanh,22.0,0.06499089999852004,0.26026771699190887,0.2494162991642952,26.5789021197073,0.7394172549247742,0.9445927739143372,0.024831779301166534,0.35744088888168335,0.10802458971738815
ablation,kodak24,kodim01,25,0,p_sweep,ectv,0.75,0.08,0.04,tanh,2.0,0.02264429999922868,0.0878504009249559,0.08785039186477661,22.217248127075372,0.5736282467842102,0.9228720664978027,0.03136759623885155,0.35744088888168335,0.26959049701690674
ablation,kodak24,kodim01,25,0,p_sweep,ectv,0.85,0.08,0.04,tanh,1.0,0.020140599997830577,0.023425986122606286,0.023425966501235962,20.734021066062873,0.5138853192329407,0.9142958521842957,0.03608109802007675,0.35744088888168335,0.3340149223804474
ablation,kodak24,kodim01,25,0,p_sweep,ectv,0.95,0.08,0.04,tanh,1.0,0.021280600001773564,0.002483436928701387,0.0024834275245666504,20.288811640246223,0.4960487186908722,0.9117031693458557,0.037681445479393005,0.35744088888168335,0.3549574613571167
ablation,kodak24,kodim01,25,0,lambda_sweep,ectv,0.6839397205857212,0.04,0.04,tanh,20.0,0.0643579999996291,0.18778726146140717,0.15020397305488586,23.916218352140145,0.6398358345031738,0.9345923662185669,0.02637564018368721,0.35744088888168335,0.20723691582679749
ablation,kodak24,kodim01,25,0,lambda_sweep,ectv,0.6839397205857212,0.08,0.04,tanh,5.0,0.03303610000148183,0.18778726146140717,0.1877872496843338,24.892743233302497,0.6790016293525696,0.9384204149246216,0.025057828053832054,0.35744088888168335,0.16965363919734955
ablation,kodak24,kodim01,25,0,lambda_sweep,ectv,0.6839397205857212,0.12,0.04,tanh,3.0,0.026800100000400562,0.18778726146140717,0.1877872496843338,24.891883962455736,0.6783406138420105,0.9363199472427368,0.02553899958729744,0.35744088888168335,0.16965363919734955
ablation,kodak24,kodim01,25,0,lambda_sweep,ectv,0.6839397205857212,0.16,0.04,tanh,3.0,0.026357200000347802,0.18778726146140717,0.1877872496843338,24.908452677181554,0.6770293712615967,0.9340444207191467,0.02594275213778019,0.35744088888168335,0.16965363919734955
ablation,kodak24,kodim01,25,0,mapping_gamma,ectv,0.6839397205857212,0.08,0.02,tanh,2.0,0.024796500001684763,0.10282893430615388,0.10282891988754272,22.5863987700762,0.5884875655174255,0.9250181913375854,0.030325019732117653,0.35744088888168335,0.2546119689941406
ablation,kodak24,kodim01,25,0,mapping_gamma,ectv,0.6839397205857212,0.08,0.04,tanh,5.0,0.03591799999776413,0.18778726146140717,0.1877872496843338,24.892743233302497,0.6790016293525696,0.9384204149246216,0.025057828053832054,0.35744088888168335,0.16965363919734955
ablation,kodak24,kodim01,25,0,mapping_gamma,ectv,0.6839397205857212,0.08,0.08,tanh,22.0,0.07127129999935278,0.28509277559832064,0.2494162991642952,26.5789021197073,0.7394172549247742,0.9445927739143372,0.024831779301166534,0.35744088888168335,0.10802458971738815
ablation,kodak24,kodim01,25,0,mapping_gamma,ectv,0.6839397205857212,0.08,0.02,linear_clip,2.0,0.02402020000226912,0.10629073343725301,0.10629072785377502,22.672851911105948,0.5919668674468994,0.9255101084709167,0.0300926361232996,0.35744088888168335,0.2511501610279083
ablation,kodak24,kodim01,25,0,mapping_gamma,ectv,0.6839397205857212,0.08,0.04,linear_clip,7.0,0.03899019999880693,0.21258146687450602,0.21258145570755005,25.6006406100879,0.7056624293327332,0.9422131180763245,0.02413639798760414,0.35744088888168335,0.1448594331741333
ablation,kodak24,kodim01,25,0,mapping_gamma,ectv,0.6839397205857212,0.08,0.08,linear_clip,22.0,0.06929840000157128,0.3333333333333333,0.2494162991642952,26.5789021197073,0.7394172549247742,0.9445927739143372,0.024831779301166534,0.35744088888168335,0.10802458971738815
ablation,kodak24,kodim01,25,0,stopping,ectv_budget,0.6839397205857212,0.08,0.04,tanh,5.0,0.03444179999860353,0.18778726146140717,0.1877872496843338,24.892743233302497,0.6790016293525696,0.9384204149246216,0.025057828053832054,0.35744088888168335,0.16965363919734955
ablation,kodak24,kodim01,25,0,stopping,tv_fixedk_val,0.6839397205857212,0.08,0.04,tanh,40.0,0.12695549999989453,inf,0.24987629801034927,26.595205548435512,0.7396564483642578,0.9444938898086548,0.024905402213335037,0.35744088888168335,0.10756459087133408
ablation,kodak24,kodim01,25,0,stopping,tv_discrepancy,0.6839397205857212,0.08,0.04,tanh,22.0,0.07109580000178539,inf,0.2494162991642952,26.5789021197073,0.7394172549247742,0.9445927739143372,0.024831779301166534,0.35744088888168335,0.10802458971738815
ablation,kodak24,kodim01,25,0,stopping,tv_maxiter,0.6839397205857212,0.08,0.04,tanh,22.0,0.06898949999958859,inf,0.2494162991642952,26.5789021197073,0.7394172549247742,0.9445927739143372,0.024831779301166534,0.35744088888168335,0.10802458971738815
ablation,kodak24,kodim01,25,0,stopping,tv_chambolle_val,0.6839397205857212,0.08,0.04,validation,0.0,0.018818100001226412,,0.3076583966612816,25.456563900855983,0.6339430212974548,0.8832712769508362,0.03747881203889847,0.35744088888168335,0.049782492220401764
ablation,kodak24,kodim01,25,0,stopping,tv_oracle,0.6839397205857212,0.08,0.04,clean_reference,80.0,0.9209282000010717,inf,0.24983664602041245,26.595488909295476,0.7396319508552551,0.9444900155067444,0.02490648813545704,0.35744088888168335,0.1076042428612709
ablation,kodak24,kodim02,25,0,p_sweep,ectv,0.55,0.08,0.04,tanh,21.0,0.06575650000013411,0.3333333331062497,0.25426021963357925,29.435387571852175,0.683664083480835,0.8861150145530701,0.013501209206879139,0.31874731183052063,0.06448709219694138
ablation,kodak24,kodim02,25,0,p_sweep,ectv,0.65,0.08,0.04,tanh,21.0,0.062350700001843506,0.26026771699190887,0.25426021963357925,29.435387571852175,0.683664083480835,0.8861150145530701,0.013501209206879139,0.31874731183052063,0.06448709219694138
ablation,kodak24,kodim02,25,0,p_sweep,ectv,0.75,0.08,0.04,tanh,2.0,0.022393499999452615,0.0878504009249559,0.08785037696361542,22.692276391170815,0.3190268576145172,0.745819091796875,0.03641464188694954,0.31874731183052063,0.2308969348669052
ablation,kodak24,kodim02,25,0,p_sweep,ectv,0.85,0.08,0.04,tanh,1.0,0.01714410000204225,0.023425986122606286,0.023425966501235962,21.073972310839125,0.260469526052475,0.724216639995575,0.04247996211051941,0.31874731183052063,0.29532134532928467
ablation,kodak24,kodim02,25,0,p_sweep,ectv,0.95,0.08,0.04,tanh,1.0,0.018713699999352684,0.002483436928701387,0.0024833977222442627,20.599674831905013,0.24511341750621796,0.7183299660682678,0.04437081888318062,0.31874731183052063,0.31626391410827637
ablation,kodak24,kodim02,25,0,lambda_sweep,ectv,0.6839397205857212,0.04,0.04,tanh,20.0,0.06249769999703858,0.18778726146140717,0.15614980459213257,24.930662487545455,0.41611483693122864,0.7885704040527344,0.027358805760741234,0.31874731183052063,0.16259750723838806
ablation,kodak24,kodim02,25,0,lambda_sweep,ectv,0.6839397205857212,0.08,0.04,tanh,5.0,0.030535300000337884,0.18778726146140717,0.1877872496843338,25.96697930315316,0.469155877828598,0.8013163208961487,0.02496941015124321,0.31874731183052063,0.13096006214618683
ablation,kodak24,kodim02,25,0,lambda_sweep,ectv,0.6839397205857212,0.12,0.04,tanh,3.0,0.026267699999152683,0.18778726146140717,0.1877872496843338,25.98751815037915,0.4686089754104614,0.7954100370407104,0.025633323937654495,0.31874731183052063,0.13096006214618683
ablation,kodak24,kodim02,25,0,lambda_sweep,ectv,0.6839397205857212,0.16,0.04,tanh,3.0,0.025652099997387268,0.18778726146140717,0.1877872347831726,26.058360357416568,0.47000741958618164,0.7917175889015198,0.025706667453050613,0.31874731183052063,0.13096007704734802
ablation,kodak24,kodim02,25,0,mapping_gamma,ectv,0.6839397205857212,0.08,0.02,tanh,2.0,0.023049899999023182,0.10282893430615388,0.10282890498638153,23.10783409132061,0.33570441603660583,0.7518709301948547,0.034921128302812576,0.31874731183052063,0.2159184068441391
ablation,kodak24,kodim02,25,0,mapping_gamma,ectv,0.6839397205857212,0.08,0.04,tanh,5.0,0.032688100000086706,0.18778726146140717,0.1877872496843338,25.96697930315316,0.469155877828598,0.8013163208961487,0.02496941015124321,0.31874731183052063,0.13096006214618683
ablation,kodak24,kodim02,25,0,mapping_gamma,ectv,0.6839397205857212,0.08,0.08,tanh,21.0,0.06794609999997192,0.28509277559832064,0.25426021963357925,29.435387571852175,0.683664083480835,0.8861150145530701,0.013501209206879139,0.31874731183052063,0.06448709219694138
