task,dataset,image,sigma255,method,edge_precision,edge_recall,edge_f1,edge_density,pred_edge_count,ref_edge_count,canny_sigma,canny_low,canny_high,tolerance_px,edge_f1_tol2
edge_extraction,kodak24,kodim01,25,noisy,0.79348421959433,0.9467268189671723,0.8633582645679097,0.29168951023391815,12769.0,10418.0,1.0,0.1,0.2,1.0,0.9300980688143228
edge_extraction,kodak24,kodim01,25,tv_maxiter,0.9405270655270656,0.783739681320791,0.8550050436886407,0.1924342105263158,8424.0,10418.0,1.0,0.1,0.2,1.0,0.9184070233500891
edge_extraction,kodak24,kodim01,25,tv_fixedk_val,0.9412535748331744,0.782011902476483,0.8542752216184681,0.19170321637426901,8392.0,10418.0,1.0,0.1,0.2,1.0,0.9182569812956716
edge_extraction,kodak24,kodim01,25,tv_discrepancy,0.9405270655270656,0.783739681320791,0.8550050436886407,0.1924342105263158,8424.0,10418.0,1.0,0.1,0.2,1.0,0.9184070233500891
edge_extraction,kodak24,kodim01,25,tv_chambolle_val,0.9759411895745155,0.4389518141677865,0.6055456554689773,0.10254477339181287,4489.0,10418.0,1.0,0.1,0.2,1.0,0.6708588810533054
edge_extraction,kodak24,kodim01,25,ectv,0.8644578313253012,0.9102514878095603,0.8867638419750543,0.25027412280701755,10956.0,10418.0,1.0,0.1,0.2,1.0,0.9502271783911356
edge_extraction,kodak24,kodim01,25,ectv_fidelity,0.97709049255441,0.5142061816087541,0.6738108921815367,0.1196546052631579,5238.0,10418.0,1.0,0.1,0.2,1.0,0.7373479486970966
edge_extraction,kodak24,kodim01,25,bilateral_val,0.9443014705882353,0.5032635822614705,0.6565957638828839,0.12426900584795321,5440.0,10418.0,1.0,0.1,0.2,1.0,0.7118346603713985
edge_extraction,kodak24,kodim01,25,pm_diff_val,0.9474349964862966,0.6771933192551354,0.7898380741397173,0.16253198099415206,7115.0,10418.0,1.0,0.1,0.2,1.0,0.8646313270498708
edge_extraction,kodak24,kodim01,25,wavelet_bayes,0.9176610978520287,0.7629103474755231,0.8331608263052566,0.19142909356725146,8380.0,10418.0,1.0,0.1,0.2,1.0,0.9104117386596909
edge_extraction,kodak24,kodim01,25,nlm,0.9802130898021308,0.38875023996928393,0.5567104181603455,0.09004934210526316,3942.0,10418.0,1.0,0.1,0.2,1.0,0.6083747543089292
edge_extraction,kodak24,kodim01,25,bm3d,0.9543194171388921,0.8280860049913611,0.8867326634136322,0.19752832602339182,8647.0,10418.0,1.0,0.1,0.2,1.0,0.9401386758747907
edge_extraction,kodak24,kodim01,25,fdncnn_color,0.9501241254795757,0.8349971203685929,0.8888482063762864,0.20243969298245615,8862.0,10418.0,1.0,0.1,0.2,1.0,0.9405843573324186
edge_extraction,kodak24,kodim01,25,ectv_fdncnn,0.9501241254795757,0.8349971203685929,0.8888482063762864,0.20243969298245615,8862.0,10418.0,1.0,0.1,0.2,1.0,0.9405843573324186
edge_extraction,kodak24,kodim01,50,noisy,0.6971382615106226,0.9364561336148973,0.7992674349486696,0.3408488669590643,14921.0,10418.0,1.0,0.1,0.2,1.0,0.905781196457469
edge_extraction,kodak24,kodim01,50,tv_maxiter,0.7268829920910637,0.9053561144173545,0.8063622035908279,0.30905062134502925,13529.0,10418.0,1.0,0.1,0.2,1.0,0.9125733400554086
edge_extraction,kodak24,kodim01,50,tv_fixedk_val,0.7288625416821045,0.9053561144173545,0.8075787853954187,0.3082739400584795,13495.0,10418.0,1.0,0.1,0.2,1.0,0.9138532937675853
edge_extraction,kodak24,kodim01,50,tv_discrepancy,0.7268829920910637,0.9053561144173545,0.8063622035908279,0.30905062134502925,13529.0,10418.0,1.0,0.1,0.2,1.0,0.9125733400554086
edge_extraction,kodak24,kodim01,50,tv_chambolle_val,0.9360370168753402,0.33259742752927623,0.4908009635999176,0.08392726608187134,3674.0,10418.0,1.0,0.1,0.2,1.0,0.5786025838071199
