task,dataset,image,sigma255,method,detector,keypoints_1,keypoints_2,matches,inliers,inlier_ratio,corner_error,homography_success
feature_matching,kodak24,kodim01,25,noisy,orb,488,483,150,148,0.9866666666666667,0.7523789405822754,1.0
feature_matching,kodak24,kodim01,25,noisy,sift,409,394,145,72,0.496551724137931,0.7364680767059326,1.0
feature_matching,kodak24,kodim01,25,tv_maxiter,orb,409,416,150,148,0.9866666666666667,0.8865134716033936,1.0
feature_matching,kodak24,kodim01,25,tv_maxiter,sift,379,389,150,94,0.6266666666666667,0.6336891651153564,1.0
feature_matching,kodak24,kodim01,25,tv_fixedk_val,orb,409,413,150,148,0.9866666666666667,0.8522545099258423,1.0
feature_matching,kodak24,kodim01,25,tv_fixedk_val,sift,383,385,150,94,0.6266666666666667,0.7087571620941162,1.0
feature_matching,kodak24,kodim01,25,tv_discrepancy,orb,409,416,150,148,0.9866666666666667,0.8865134716033936,1.0
feature_matching,kodak24,kodim01,25,tv_discrepancy,sift,379,389,150,94,0.6266666666666667,0.6336891651153564,1.0
feature_matching,kodak24,kodim01,25,tv_chambolle_val,orb,239,219,116,110,0.9482758620689655,0.6773205399513245,1.0
feature_matching,kodak24,kodim01,25,tv_chambolle_val,sift,183,186,90,67,0.7444444444444445,0.4679933488368988,1.0
feature_matching,kodak24,kodim01,25,ectv,orb,453,455,150,150,1.0,2.275451183319092,1.0
feature_matching,kodak24,kodim01,25,ectv,sift,543,541,150,100,0.6666666666666666,0.44574886560440063,1.0
feature_matching,kodak24,kodim01,25,ectv_fidelity,orb,314,325,150,145,0.9666666666666667,1.086137294769287,1.0
feature_matching,kodak24,kodim01,25,ectv_fidelity,sift,239,251,118,81,0.6864406779661016,0.6400989294052124,1.0
feature_matching,kodak24,kodim01,25,bilateral_val,orb,338,332,150,149,0.9933333333333333,1.4728336334228516,1.0
feature_matching,kodak24,kodim01,25,bilateral_val,sift,203,197,94,73,0.776595744680851,0.41902726888656616,1.0
feature_matching,kodak24,kodim01,25,pm_diff_val,orb,234,226,120,108,0.9,1.2779018878936768,1.0
feature_matching,kodak24,kodim01,25,pm_diff_val,sift,294,289,137,101,0.7372262773722628,0.44815540313720703,1.0
feature_matching,kodak24,kodim01,25,wavelet_bayes,orb,391,399,150,141,0.94,2.9208037853240967,1.0
feature_matching,kodak24,kodim01,25,wavelet_bayes,sift,324,312,138,75,0.5434782608695652,1.0738775730133057,1.0
feature_matching,kodak24,kodim01,25,nlm,orb,257,239,137,130,0.948905109489051,3.3992505073547363,0.0
feature_matching,kodak24,kodim01,25,nlm,sift,182,181,98,75,0.7653061224489796,0.695176899433136,1.0
feature_matching,kodak24,kodim01,25,bm3d,orb,391,394,150,150,1.0,2.083329916000366,1.0
feature_matching,kodak24,kodim01,25,bm3d,sift,320,353,150,116,0.7733333333333333,0.5022855997085571,1.0
feature_matching,kodak24,kodim01,25,fdncnn_color,orb,409,418,150,150,1.0,0.43566998839378357,1.0
feature_matching,kodak24,kodim01,25,fdncnn_color,sift,334,337,150,119,0.7933333333333333,0.2779722809791565,1.0
feature_matching,kodak24,kodim01,25,ectv_fdncnn,orb,409,418,150,150,1.0,0.43566998839378357,1.0
feature_matching,kodak24,kodim01,25,ectv_fdncnn,sift,334,337,150,119,0.7933333333333333,0.2779722809791565,1.0
feature_matching,kodak24,kodim01,50,noisy,orb,518,509,150,111,0.74,3.146787166595459,0.0
feature_matching,kodak24,kodim01,50,noisy,sift,326,301,134,41,0.30597014925373134,1.6362875699996948,1.0
feature_matching,kodak24,kodim01,50,tv_maxiter,orb,502,498,150,103,0.6866666666666666,5.367310523986816,0.0
feature_matching,kodak24,kodim01,50,tv_maxiter,sift,538,524,150,57,0.38,1.3915446996688843,1.0
feature_matching,kodak24,kodim01,50,tv_fixedk_val,orb,503,498,150,103,0.6866666666666666,1.3151277303695679,1.0
feature_matching,kodak24,kodim01,50,tv_fixedk_val,sift,524,522,150,54,0.36,0.9636783599853516,1.0
feature_matching,kodak24,kodim01,50,tv_discrepancy,orb,502,498,150,103,0.6866666666666666,5.367310523986816,0.0
feature_matching,kodak24,kodim01,50,tv_discrepancy,sift,538,524,150,57,0.38,1.3915446996688843,1.0
feature_matching,kodak24,kodim01,50,tv_chambolle_val,orb,121,129,53,40,0.7547169811320755,4.26945686340332,0.0
feature_matching,kodak24,kodim01,50,tv_chambolle_val,sift,129,128,65,47,0.7230769230769231,1.1689791679382324,1.0
feature_matching,kodak24,kodim01,50,ectv,orb,502,498,150,103,0.6866666666666666,5.367310523986816,0.0
feature_matching,kodak24,kodim01,50,ectv,sift,538,524,150,57,0.38,1.3915446996688843,1.0
feature_matching,kodak24,kodim01,50,ectv_fidelity,orb,175,182,77,62,0.8051948051948052,3.2155957221984863,0.0
feature_matching,kodak24,kodim01,50,ectv_fidelity,sift,160,173,82,53,0.6463414634146342,1.0932425260543823,1.0
feature_matching,kodak24,kodim01,50,bilateral_val,orb,230,221,83,56,0.6746987951807228,1.8381702899932861,1.0
feature_matching,kodak24,kodim01,50,bilateral_val,sift,82,81,39,22,0.5641025641025641,3.607193946838379,0.0
feature_matching,kodak24,kodim01,50,pm_diff_val,orb,357,422,141,74,0.524822695035461,3.5569746494293213,0.0
feature_matching,kodak24,kodim01,50,pm_diff_val,sift,507,598,150,74,0.49333333333333335,1.7443722486495972,1.0
feature_matching,kodak24,kodim01,50,wavelet_bayes,orb,166,206,61,40,0.6557377049180327,6.6541595458984375,0.0
feature_matching,kodak24,kodim01,50,wavelet_bayes,sift,185,198,78,42,0.5384615384615384,0.8141039609909058,1.0
feature_matching,kodak24,kodim01,50,nlm,orb,76,72,28,23,0.8214285714285714,1.2128428220748901,1.0
feature_matching,kodak24,kodim01,50,nlm,sift,107,102,52,43,0.8269230769230769,0.947993278503418,1.0
feature_matching,kodak24,kodim01,50,bm3d,orb,184,203,92,78,0.8478260869565217,1.6641871929168701,1.0
feature_matching,kodak24,kodim01,50,bm3d,sift,172,176,88,63,0.7159090909090909,0.9533405303955078,1.0
feature_matching,kodak24,kodim01,50,fdncnn_color,orb,261,262,115,101,0.8782608695652174,2.5516529083251953,1.0
feature_matching,kodak24,kodim01,50,fdncnn_color,sift,202,198,94,68,0.723404255319149,0.7052239775657654,1.0
feature_matching,kodak24,kodim01,50,ectv_fdncnn,orb,261,262,115,101,0.8782608695652174,2.5516529083251953,1.0
feature_matching,kodak24,kodim01,50,ectv_fdncnn,sift,202,198,94,68,0.723404255319149,0.7052239775657654,1.0
feature_matching,kodak24,kodim02,25,noisy,orb,431,445,150,133,0.8866666666666667,28.79850959777832,0.0
feature_matching,kodak24,kodim02,25,noisy,sift,125,115,47,21,0.44680851063829785,4.869744300842285,0.0
feature_matching,kodak24,kodim02,25,tv_maxiter,orb,230,227,122,109,0.8934426229508197,4.860861778259277,0.0
feature_matching,kodak24,kodim02,25,tv_maxiter,sift,62,59,34,24,0.7058823529411765,6.724778175354004,0.0
feature_matching,kodak24,kodim02,25,tv_fixedk_val,orb,227,227,119,108,0.907563025210084,4.106689453125,0.0
feature_matching,kodak24,kodim02,25,tv_fixedk_val,sift,60,60,33,24,0.7272727272727273,2.79632830619812,1.0
feature_matching,kodak24,kodim02,25,tv_discrepancy,orb,230,227,122,109,0.8934426229508197,4.860861778259277,0.0
feature_matching,kodak24,kodim02,25,tv_discrepancy,sift,62,59,34,24,0.7058823529411765,6.724778175354004,0.0
feature_matching,kodak24,kodim02,25,tv_chambolle_val,orb,104,111,74,72,0.972972972972973,14.088532447814941,0.0
feature_matching,kodak24,kodim02,25,tv_chambolle_val,sift,29,30,19,16,0.8421052631578947,7.737434387207031,0.0
feature_matching,kodak24,kodim02,25,ectv,orb,353,360,150,130,0.8666666666666667,8.698100090026855,0.0
feature_matching,kodak24,kodim02,25,ectv,sift,135,136,59,20,0.3389830508474576,24.445098876953125,0.0
