task,dataset,image,sigma255,seed,method,psnr,ssim,grad_corr,grad_mae,tv_input,tv_output,iterations,runtime,budget,removed,p,gamma,lambda,alpha,eta,accepted
synthetic_image,kodak24,kodim01,25.0,0,noisy,20.23713313567132,0.4939862787723541,0.9113965630531312,0.0378751195967197,0.3574408888816833,0.3574408888816833,0,0.0,0.0,0.0,0.0,,,,,
synthetic_image,kodak24,kodim01,25.0,0,fdncnn_color,29.98426532598494,0.8668355345726013,0.9678882360458374,0.0175042748451232,0.3574408888816833,0.0999395474791526,0,1.1472281999995175,,,0.0,,,,,
synthetic_image,kodak24,kodim01,25.0,0,ectv_fdncnn,29.98426532598494,0.8668355345726013,0.9678882360458374,0.0175042748451232,0.3574408888816833,0.0999395474791526,0,1.149445499999274,0.333308650746332,0.2575013414025306,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim02,25.0,0,noisy,20.54486705473801,0.2433896213769912,0.7176505923271179,0.0445957891643047,0.3187473118305206,0.3187473118305206,0,0.0,0.0,0.0,0.0,,,,,
synthetic_image,kodak24,kodim02,25.0,0,fdncnn_color,32.90700791075966,0.8499262928962708,0.9405280947685242,0.0089980959892272,0.3187473118305206,0.0324414744973182,0,1.1612638999995395,,,0.0,,,,,
synthetic_image,kodak24,kodim02,25.0,0,ectv_fdncnn,32.90700791075966,0.8499262928962708,0.9405280947685242,0.0089980959892272,0.3187473118305206,0.0324414744973182,0,1.1632831999995688,0.333308650746332,0.2863058373332023,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim03,25.0,0,noisy,20.34299691502423,0.2831827402114868,0.785407304763794,0.0441401861608028,0.3265019357204437,0.3265019357204437,0,0.0,0.0,0.0,0.0,,,,,
synthetic_image,kodak24,kodim03,25.0,0,fdncnn_color,33.74246241070513,0.9090848565101624,0.9670681357383728,0.0094848256558179,0.3265019357204437,0.0365758128464221,0,1.1583699000002523,,,0.0,,,,,
synthetic_image,kodak24,kodim03,25.0,0,ectv_fdncnn,33.74246241070513,0.9090848565101624,0.9670681357383728,0.0094848256558179,0.3265019357204437,0.0365758128464221,0,1.160326999999597,0.333308650746332,0.2899261228740215,0.6839397205857212,0.32,,0.3333333333333333,1.0,1.0
synthetic_image,kodak24,kodim04,25.0,0,noisy,20.31404746302467,0.3271660804748535,0.8350663781166077,0.0401672162115573,0.3333169519901275,0.3333169519901275,0,0.0,0.0,0.0,0.0,,,,,
