task,dataset,image,sigma255,seed,method,psnr,ssim,grad_corr,grad_mae,tv_input,tv_output,iterations,runtime,budget,removed,p,gamma,lambda,alpha,eta,accepted
synthetic_image,kodak24,kodim01,15,0,noisy,24.61743717449121,0.693760871887207,0.9615898728370667,0.022152474150061607,0.2461383044719696,0.2461383044719696,0,0.0,0.0,0.0,0.0,,,,,
synthetic_image,kodak24,kodim01,15,0,ectv,25.4373084344895,0.7218461036682129,0.9639561176300049,0.020548945292830467,0.2461383044719696,0.22229444980621338,1,0.018292599999767845,0.023843897597316383,0.023843854665756226,0.8488381630355155,0.04,,,,
synthetic_image,kodak24,kodim01,15,0,ectv_fidelity,28.748665827852182,0.8109602332115173,0.9603780508041382,0.02379884012043476,0.2461383044719696,0.07356186211109161,9,0.03902430000016466,0.1725764484378941,0.172576442360878,0.8488381630355155,0.32,0.08,0.3333333333333333,,
synthetic_image,kodak24,kodim01,15,0,tv_maxiter,28.35666639999156,0.7865554690361023,0.9476549625396729,0.027447469532489777,0.2461383044719696,0.0631798505783081,21,0.05531580000024405,inf,0.1829584538936615,0.8488381630355155,,,,,
synthetic_image,kodak24,kodim01,15,0,tv_fixedk_val,28.359618094270438,0.7872076630592346,0.9471363425254822,0.02758830599486828,0.2461383044719696,0.06300277262926102,40,0.10165389999929175,,0.1831355318427086,0.8488381630355155,,,,,
synthetic_image,kodak24,kodim01,15,0,tv_discrepancy,28.70527247299411,0.8083724975585938,0.9593481421470642,0.024125121533870697,0.2461383044719696,0.0724148079752922,9,0.0262127000005421,,0.1737234964966774,0.8488381630355155,,,,,
synthetic_image,kodak24,kodim01,15,0,tv_chambolle_val,27.382532649168336,0.7374439239501953,0.933333158493042,0.03046589531004429,0.2461383044719696,0.058935072273015976,0,0.01458930000080727,,,0.0,,,,,
synthetic_image,kodak24,kodim01,15,0,gaussian_val,25.757692811767456,0.7234838008880615,0.8883918523788452,0.03379930928349495,0.2461383044719696,0.05941299349069595,0,0.00013790000048174988,,,0.0,,,,,
synthetic_image,kodak24,kodim01,15,0,median_val,23.594929519329963,0.5428211688995361,0.8109180927276611,0.0400325246155262,0.2461383044719696,0.05425296351313591,0,0.000521100000696606,,,0.0,,,,,
synthetic_image,kodak24,kodim01,15,0,bilateral_val,28.226570650113302,0.817776620388031,0.9579511284828186,0.022285085171461105,0.2461383044719696,0.11084987223148346,0,0.12263880000136851,,,0.0,,,,,
synthetic_image,kodak24,kodim01,15,0,pm_diff_val,27.103250561424318,0.733863353729248,0.9296308755874634,0.029528751969337463,0.2461383044719696,0.06047981232404709,5,0.004790199998751632,,,0.0,,,,,
synthetic_image,kodak24,kodim01,15,0,wavelet_bayes,28.00134631085004,0.796356201171875,0.9671123623847961,0.01869034953415394,0.2461383044719696,0.1355818212032318,0,0.0029733999999734806,,,0.0,,,,,
synthetic_image,kodak24,kodim01,15,0,nlm,28.894998275097215,0.7924747467041016,0.9436007738113403,0.02355002611875534,0.2461383044719696,0.0892600491642952,0,0.0351115999983449,,,0.0,,,,,
synthetic_image,kodak24,kodim01,15,0,bm3d,32.402586354433126,0.923337996006012,0.9835909605026245,0.012812180444598198,0.2461383044719696,0.11101987957954407,0,1.2490508999999292,,,0.0,,,,,
