task,dataset,image,sigma255,seed,method,psnr,ssim,grad_corr,grad_mae,tv_input,tv_output,iterations,runtime,budget,removed,p,temporal_residual_fluctuation,gamma,lambda,alpha,eta,accepted
video_sequence,kodak24_synthetic_sequence,kodim01_frame_00,20,0,noisy,22.143206490340376,0.5784091353416443,0.9338527917861938,0.0301637202501297,0.30306771397590637,0.30306771397590637,0,0.0,0.0,0.0,0.0,0.08808248490095139,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_00,20,0,ectv,24.192676788758707,0.6577652096748352,0.9432135224342346,0.02512981742620468,0.30306771397590637,0.22861380875110626,2,0.02744370000073104,0.07445392071945282,0.07445390522480011,0.7636462120215243,0.06937038153409958,0.04,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_00,20,0,ectv_fidelity,26.49998187478363,0.6884323954582214,0.9032647609710693,0.034316401928663254,0.30306771397590637,0.04860477149486542,80,0.23293499999999767,0.31619728928517676,0.25446294248104095,0.7636462120215243,0.0480639822781086,0.32,0.12,0.3333333333333333,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_00,20,0,tv_maxiter,27.704635732576467,0.7773237824440002,0.9480060338973999,0.025371534749865532,0.30306771397590637,0.08103352040052414,21,0.0630302000008669,inf,0.22203419357538223,0.7636462120215243,0.04485173895955086,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_00,20,0,tv_fixedk_val,27.70425903446195,0.7769403457641602,0.9475801587104797,0.025500567629933357,0.30306771397590637,0.08087048679590225,40,0.11701600000014878,,0.22219722718000412,0.7636462120215243,0.04472934827208519,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_00,20,0,tv_discrepancy,27.704635732576467,0.7773237824440002,0.9480060338973999,0.025371534749865532,0.30306771397590637,0.08103352040052414,21,0.06930060000013327,,0.22203419357538223,0.7636462120215243,0.04485173895955086,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_00,20,0,tv_chambolle_val,26.238693991329598,0.6943544745445251,0.9059079885482788,0.03374756500124931,0.30306771397590637,0.06284879148006439,0,0.0151917000002868,,,0.0,0.051212143152952194,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_00,20,0,gaussian_val,25.13158018025331,0.6929097175598145,0.8825312256813049,0.03367810696363449,0.30306771397590637,0.06365282088518143,0,0.00031969999872671906,,,0.0,0.05934227257966995,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_00,20,0,median_val,23.2382828418144,0.5152068734169006,0.8042359948158264,0.04040427505970001,0.30306771397590637,0.058556679636240005,0,0.0007284999992407393,,,0.0,0.06795336306095123,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_00,20,0,bilateral_val,26.42413813458674,0.7357549667358398,0.9403945207595825,0.026803774759173393,0.30306771397590637,0.1135113462805748,0,0.14476900000045134,,,0.0,0.04355308786034584,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_00,20,0,pm_diff_val,25.726145699223473,0.6868839859962463,0.9027109742164612,0.032987453043460846,0.30306771397590637,0.0577990785241127,5,0.006644600000072387,,,0.0,0.056010328233242035,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_00,20,0,wavelet_bayes,26.48577878055565,0.7223318219184875,0.9423173666000366,0.02414596825838089,0.30306771397590637,0.13067400455474854,0,0.0034258000014233403,,,0.0,0.05161743238568306,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_00,20,0,nlm,27.59633118869909,0.719059944152832,0.9162158370018005,0.028267893940210342,0.30306771397590637,0.08305368572473526,0,0.04211899999972957,,,0.0,0.04282386973500252,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_00,20,0,bm3d,30.89374826832044,0.8895300030708313,0.9735792279243469,0.015641655772924423,0.30306771397590637,0.10600962489843369,0,1.4245181999995111,,,0.0,0.030562851577997208,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_00,20,0,fdncnn_color,31.16550350837182,0.8964744210243225,0.9763474464416504,0.014824595302343369,0.30306771397590637,0.1076493188738823,0,1.2241522999993322,,,0.0,0.0298819150775671,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_00,20,0,ectv_fdncnn,31.16550350837182,0.8964744210243225,0.9763474464416504,0.014824595302343369,0.30306771397590637,0.1076493188738823,0,1.2260528999995586,0.31619728928517676,0.19541839510202408,0.7636462120215243,0.0298819150775671,0.32,,0.3333333333333333,1.0,1.0
video_sequence,kodak24_synthetic_sequence,kodim01_frame_01,20,1,noisy,22.165575291201677,0.5795143246650696,0.9352225661277771,0.030132781714200974,0.30192047357559204,0.30192047357559204,0,0.0,0.0,0.0,0.0,0.08808248490095139,,,,,
